Time,latitude,longitude,altitude,roll,pitch,heading,airspeed,vertical_speed
180.008,39.13169151,-84.6804259,4182.163656,1.725935388,16.10171607,10.52512816,135.7819685,41.86721337
181,39.13236423,-84.68027285,4223.578107,0.814744943,15.72444843,10.61987868,135.3258842,40.01624731
182,39.13304141,-84.68011737,4263.663227,0.431068485,15.69319564,10.46527498,134.896218,38.65378805
183,39.13371726,-84.67996171,4302.603938,1.333727126,15.52317259,10.2654907,134.473704,37.59941944
184,39.13439184,-84.67980521,4340.44607,2.684581349,15.34094856,10.41228167,134.1155805,36.46667647
185,39.13506503,-84.67964583,4377.251583,3.834902659,15.52650772,11.01461044,133.756987,35.69896621
186,39.13573009,-84.67948259,4413.487102,4.707306007,15.91495371,11.7913079,133.2554675,35.90729917
187,39.13639685,-84.67931081,4450.479753,5.06039179,16.11335943,12.50806565,132.649609,36.45170789
188.017,39.13707036,-84.67912823,4488.515613,3.830587656,16.28746259,13.13446717,132.0357111,36.78582198
189.008,39.13772874,-84.67894249,4526.269949,2.318950824,16.4532303,13.43672963,131.4103168,37.13065931
190.092,39.13794737,-84.67887966,4538.920847,1.888803932,16.47988236,13.44866717,131.2027411,37.1990853
191,39.1390299,-84.67856455,4601.942285,-0.1249754148,16.59457289,13.15313883,130.1988623,37.17257489
192,39.13967926,-84.67837576,4639.835521,-1.250802925,16.67004236,12.90098771,129.5948371,37.05143508
193.008,39.14032658,-84.6781904,4677.562427,-2.197558168,16.62676368,12.60510046,129.0159896,36.80744748
194,39.14097258,-84.67800974,4714.811027,-2.390800129,16.30934485,12.20113002,128.5567051,36.02528172
195,39.1416182,-84.67783398,4751.049202,-1.967805848,16.11762789,11.75604029,128.2115928,34.90977525
196,39.14226365,-84.67766271,4786.263731,-1.123451618,16.06267483,11.44077015,127.8862095,34.02023137
197,39.1429086,-84.67749489,4820.736386,-0.3737621021,16.24418623,11.38309224,127.5371454,33.49527498
198,39.14355216,-84.67732931,4855.07022,0.2571069104,16.67529405,11.49268679,127.0515438,33.75936118
199.008,39.14419842,-84.67716346,4890.242861,0.9218134357,17.06680639,11.63046034,126.4214939,34.50315661
200,39.14483057,-84.67700032,4925.575455,1.530358909,17.35103614,11.77500318,125.7297565,35.20709835
201,39.14546422,-84.6768348,4961.812365,2.099746164,17.55965269,11.98753463,125.0004373,35.70867303
202,39.14609389,-84.67666734,4998.423879,2.607855218,17.734735,12.30937161,124.2623952,35.97753993
203,39.14671945,-84.67649704,5035.215621,3.05982359,17.89009028,12.72277663,123.5174757,36.08741926
