Time,latitude,longitude,altitude,roll,pitch,heading,airspeed
280,39.04936879,-84.68382028,874.9963778,0.2269061876,-0.030355497,0.1699802809,2.929551776
280.508,39.04936879,-84.68382028,874.9963784,0.2269057147,-0.03035597206,0.1699802788,2.929551796
281.008,39.04936879,-84.68382028,874.9963792,0.2269048709,-0.03035684345,0.1699802751,2.929551574
281.5,39.04936879,-84.68382028,874.9963799,0.226904895,-0.03035743542,0.1699802728,2.929551887
282,39.04936879,-84.68382028,874.9963807,0.2269045978,-0.03035820967,0.1699802697,2.929551614
282.508,39.04936879,-84.68382028,874.9963814,0.2269040456,-0.03035906398,0.1699802661,2.929551835
283.008,39.04936879,-84.68382028,874.9963821,0.2269047536,-0.03035949993,0.1699802647,2.92955192
283.508,39.04936879,-84.68382028,874.9963828,0.2269061412,-0.0303602002,0.1699802625,2.929552007
284,39.04936879,-84.68382028,874.9963833,0.2269065998,-0.03036037793,0.169980262,2.929551897
284.508,39.04936879,-84.68382028,874.9963843,0.2269062629,-0.03036159269,0.1699802571,2.929551663
285,39.04936879,-84.68382028,874.9963848,0.22690416,-0.03036217762,0.169980254,2.929551894
285.508,39.04936879,-84.68382028,874.9963854,0.2269042227,-0.03036271564,0.1699802519,2.929551908
286,39.04936879,-84.68382028,874.9963859,0.2269063938,-0.03036277022,0.1699802525,2.929551995
286.5,39.04936879,-84.68382028,874.9963865,0.2269066403,-0.03036305323,0.1699802515,2.929551924
287.017,39.04936879,-84.68382028,874.9963875,0.2269060234,-0.03036443618,0.1699802459,2.929551868
287.508,39.04936879,-84.68382028,874.9963881,0.2269055771,-0.03036494447,0.1699802437,2.929551912
288,39.04936879,-84.68382028,874.9963888,0.2269053556,-0.03036549271,0.1699802415,2.929551726
288.508,39.04936879,-84.68382028,874.9963897,0.2269047778,-0.03036692227,0.1699802357,2.929551921
289,39.04936879,-84.68382028,874.9963906,0.2269065098,-0.03036781177,0.1699802329,2.92955206
289.508,39.04936879,-84.68382028,874.9963913,0.226907556,-0.03036842375,0.1699802309,2.929551982
290.008,39.04936879,-84.68382028,874.996392,0.2269078611,-0.03036909289,0.1699802284,2.929551943
290.508,39.04936879,-84.68382028,874.9963929,0.2269066128,-0.03037035585,0.169980223,2.929551939
291,39.04936879,-84.68382028,874.9963936,0.226906935,-0.03037093028,0.1699802209,2.929552099
291.508,39.04936879,-84.68382028,874.9963941,0.2269067739,-0.03037096032,0.1699802207,2.929551964
292.017,39.04936879,-84.68382028,874.9963948,0.2269042257,-0.03037175589,0.1699802166,2.929551816
292.508,39.04936879,-84.68382028,874.9963957,0.2269025502,-0.03037314717,0.1699802105,2.929551746
293,39.04936879,-84.68382028,874.9963966,0.2269029905,-0.03037413136,0.1699802068,2.929552156
293.517,39.04936879,-84.68382028,874.9963972,0.2269046269,-0.03037388651,0.1699802084,2.929552141
294.008,39.04936879,-84.68382028,874.9963979,0.2269057936,-0.03037416585,0.1699802078,2.929552193
294.508,39.04936879,-84.68382028,874.9963984,0.2269064088,-0.03037422224,0.1699802078,2.929552079
295.008,39.04936879,-84.68382028,874.9963993,0.2269060922,-0.03037517394,0.1699802039,2.929551874
295.508,39.04936879,-84.68382028,874.9964,0.2269055141,-0.03037572793,0.1699802015,2.929552036
296.008,39.04936879,-84.68382028,874.9964007,0.2269057889,-0.03037642224,0.1699801989,2.929552072
296.508,39.04936879,-84.68382028,874.9964017,0.226904972,-0.0303776852,0.1699801937,2.929552038
297,39.04936879,-84.68382028,874.9964022,0.2269038264,-0.0303778345,0.1699801926,2.92955214
297.5,39.04936879,-84.68382028,874.9964027,0.2269038026,-0.03037818221,0.1699801913,2.929552053
298.017,39.04936879,-84.68382028,874.9964033,0.2269059603,-0.03037878152,0.1699801898,2.929552224
298.5,39.04936879,-84.68382028,874.9964038,0.2269063702,-0.03037914907,0.1699801885,2.929552121
299.008,39.04936879,-84.68382028,874.9964047,0.2269065739,-0.03038051714,0.1699801833,2.929551963
299.5,39.04936879,-84.68382028,874.9964057,0.2269066666,-0.03038166041,0.1699801788,2.929552204
300.017,39.04936879,-84.68382028,874.9964063,0.2269070498,-0.03038196409,0.1699801778,2.929552122
300.508,39.04936879,-84.68382028,874.9964071,0.2269052708,-0.03038292466,0.1699801733,2.929552095
301.017,39.04936879,-84.68382028,874.9964079,0.2269060775,-0.03038392367,0.1699801697,2.929552174
301.517,39.04936879,-84.68382028,874.9964087,0.2269058816,-0.03038464322,0.1699801668,2.929551853
302,39.04936879,-84.68382028,874.9964094,0.2269041099,-0.03038531612,0.1699801635,2.92955211
302.5,39.04936879,-84.68382028,874.99641,0.2269044217,-0.03038578607,0.1699801618,2.929552214
303.008,39.04936879,-84.68382028,874.9964107,0.2269046058,-0.03038631022,0.1699801598,2.929551947
303.5,39.04936879,-84.68382028,874.9964115,0.2269041394,-0.03038699283,0.169980157,2.929552247
304.008,39.04936879,-84.68382028,874.9964121,0.2269047347,-0.03038756232,0.169980155,2.929552188
304.5,39.04936879,-84.68382028,874.9964128,0.2269049154,-0.03038824094,0.1699801524,2.929552198
305,39.04936879,-84.68382028,874.9964138,0.2269040144,-0.03038936877,0.1699801476,2.929552219
305.5,39.04936879,-84.68382028,874.9964144,0.2269043494,-0.03039008696,0.169980145,2.929552261
306.008,39.04936879,-84.68382028,874.9964151,0.2269051208,-0.03039082696,0.1699801424,2.929552232
306.5,39.04936879,-84.68382028,874.9964157,0.2269049076,-0.03039144706,0.1699801399,2.929552146
307,39.04936879,-84.68382028,874.9964164,0.2269027578,-0.03039240222,0.1699801353,2.929552123
307.5,39.04936879,-84.68382028,874.9964172,0.2269031242,-0.0303932821,0.169980132,2.929552438
308.017,39.04936879,-84.68382028,874.9964176,0.2269044655,-0.03039313356,0.1699801331,2.929552324
308.5,39.04936879,-84.68382028,874.9964183,0.2269052516,-0.03039382426,0.1699801307,2.929552061
309.008,39.04936879,-84.68382028,874.9964192,0.2269045952,-0.03039514574,0.1699801253,2.929552252
309.5,39.04936879,-84.68382028,874.99642,0.2269056051,-0.03039605501,0.1699801221,2.929552304
310,39.04936879,-84.68382028,874.9964208,0.226906801,-0.03039680551,0.1699801197,2.929552397
310.508,39.04936879,-84.68382028,874.9964215,0.2269076332,-0.0303970371,0.1699801191,2.929552362
311,39.04936879,-84.68382028,874.9964224,0.226906596,-0.03039792564,0.1699801152,2.929552277
311.5,39.04936879,-84.68382028,874.996423,0.2269062584,-0.03039816705,0.1699801141,2.929552393
312,39.04936879,-84.68382028,874.9964235,0.2269062055,-0.03039812374,0.1699801143,2.929552337
312.508,39.04936879,-84.68382028,874.9964243,0.2269048329,-0.03039899129,0.1699801104,2.929552157
313,39.04936879,-84.68382028,874.9964252,0.2269033277,-0.03040004567,0.1699801056,2.929552029
313.5,39.04936879,-84.68382028,874.996426,0.2269034561,-0.03040067114,0.1699801032,2.929552419
314,39.04936879,-84.68382028,874.9964266,0.2269042721,-0.03040107503,0.169980102,2.929552397
314.5,39.04936879,-84.68382028,874.9964273,0.2269050082,-0.03040175966,0.1699800996,2.929552371
315,39.04936879,-84.68382028,874.9964278,0.2269060484,-0.03040209502,0.1699800987,2.929552398
315.5,39.04936879,-84.68382028,874.9964286,0.2269057055,-0.03040279224,0.1699800958,2.929552163
316,39.04936879,-84.68382028,874.9964295,0.2269045643,-0.03040406201,0.1699800904,2.929552245
316.5,39.04936879,-84.68382028,874.9964299,0.2269046316,-0.03040411002,0.1699800903,2.929552435
317,39.04936879,-84.68382028,874.9964305,0.226904237,-0.030404638,0.169980088,2.929552135
317.508,39.04936879,-84.68382028,874.9964313,0.2269033327,-0.03040555658,0.1699800841,2.929552376
318,39.04936879,-84.68382028,874.9964319,0.2269038773,-0.03040608004,0.1699800823,2.929552474
318.5,39.04936879,-84.68382028,874.9964326,0.2269047908,-0.03040673566,0.1699800801,2.929552448
319,39.04936879,-84.68382028,874.9964333,0.2269050783,-0.03040743269,0.1699800774,2.929552385
319.5,39.04936879,-84.68382028,874.9964342,0.2269040946,-0.03040883255,0.1699800716,2.929552402
320.008,39.04936879,-84.68382028,874.9964351,0.2269057056,-0.03041025369,0.1699800667,2.929552513
320.5,39.04936879,-84.68382028,874.9964356,0.2269059752,-0.0304108347,0.1699800645,2.929552415
321.008,39.04936879,-84.68382028,874.9964364,0.2269037812,-0.03041176277,0.16998006,2.929552269
